순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1,분노의 질주: 더 세븐,2015-04-01,10853122798 ,0.4710 ,11923125498 ,1328161 ,1464107 ,983 ,29159 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀"
2,스물,2015-03-25,7020421741 ,0.3050 ,18303775960 ,898171 ,2373786 ,791 ,26845 ,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영"
3,킹스맨 : 시크릿 에이전트,2015-02-11,1480526300 ,0.0640 ,48974171295 ,180656 ,5959747 ,401 ,8506 ,미국,"미국,영국",,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러",매튜 본,"콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인"
4,위플래쉬,2015-03-12,1336428559 ,0.0580 ,11808824945 ,166360 ,1484244 ,419 ,8747 ,미국,미국,,(주)쇼박스,15세이상관람가,드라마,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스"
5,신데렐라,2015-03-19,559799900 ,0.0240 ,5268919900 ,74134 ,685942 ,297 ,3193 ,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,멜로/로맨스,케네스 브래너,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저,소피 맥쉐라"
6,송 원,2015-04-01,271624643 ,0.0120 ,316455143 ,35820 ,42960 ,365 ,5479 ,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"드라마,멜로/로맨스",케이트 베커-플로이랜드,"앤 해서웨이,자니 플린"
7,인서전트,2015-03-25,255389600 ,0.0110 ,2148491889 ,32501 ,281424 ,278 ,3492 ,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,액션",로베르트 슈벤트케,"쉐일린 우들리,테오 제임스,케이트 윈슬렛,나오미 왓츠,매기 큐,안셀 엘고트,마일즈 텔러,대니얼 대 킴"
8,팔로우,2015-04-02,246778843 ,0.0110 ,257408843 ,29810 ,31112 ,197 ,2968 ,미국,미국,,"(주)영화사오원,(주)브리즈픽처스",청소년관람불가,공포(호러),데이빗 로버트 밋첼,"마이카 먼로,키어 길크리스,다니엘 조바토,제이크 웨어리"
9,파울볼,2015-04-02,166862200 ,0.0070 ,189305200 ,21805 ,24618 ,231 ,3288 ,한국,한국,(주)티피에스컴퍼니,오퍼스픽쳐스,전체관람가,다큐멘터리,"조정래,김보경","김성근,조진웅,박지은,박진영,설재훈,이경태,이동현,이상훈,이상훈,이성진,이승엽,이승재,이승주"
10,윈드랜드,2015-04-02,146772500 ,0.0060 ,157628500 ,20423 ,21780 ,240 ,1304 ,이탈리아,이탈리아,,예지림엔터테인먼트,전체관람가,애니메이션,세르지오 맨피오,"김경희,탁원정,권문정,박상훈,윤세웅"
11,장수상회,2015-04-09,89119000 ,0.0040 ,131078000 ,11914 ,17046 ,14 ,57 ,한국,한국,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철"
12,코블러,2015-04-08,50708700 ,0.0020 ,59450700 ,6624 ,7702 ,230 ,652 ,미국,미국,,씨네그루(주)다우기술,15세이상관람가,"판타지,코미디",토마스 맥카시,"아담 샌들러,더스틴 호프만,스티브 부세미"
13,모스트 바이어런트,2015-04-02,51367400 ,0.0020 ,62191400 ,6532 ,7966 ,71 ,815 ,미국,미국,,(주)영화사 진진,15세이상관람가,범죄,J.C 챈더,"오스카 아이삭,제시카 차스테인"
14,한 번 더 해피엔딩,2015-04-08,45730000 ,0.0020 ,48595300 ,6241 ,6602 ,231 ,607 ,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,"멜로/로맨스,코미디",마크 로렌스,"휴 그랜트,마리사 토메이,앨리슨 제니,벨라 헤스콧"
15,그 사람 그 사랑 그 세상,2014-11-20,33495100 ,0.0010 ,256510500 ,4927 ,35166 ,23 ,161 ,한국,한국,KBS,"THE 픽쳐스,(주)팝엔터테인먼트",전체관람가,다큐멘터리,권혁만,"강석우,최강희,이광기"
16,맛있는 택배,2015-04-02,22132000 ,0.0010 ,22132000 ,4457 ,4457 ,50 ,95 ,한국,한국,(주)로드하우스,노바엔터테인먼트,청소년관람불가,멜로/로맨스,기대호,"송기준,윤원선,이성민,이예은,이원"
17,화장,2015-04-09,33250000 ,0.0010 ,47809000 ,4164 ,6067 ,8 ,21 ,한국,한국,(주)명필름,(주)리틀빅픽쳐스,청소년관람불가,드라마,임권택,"안성기,김규리,김호정,박혜미,윤종호,이소정,이은경,안석환,연우진,김병춘,주현"
18,버드맨,2015-03-05,30200500 ,0.0010 ,1641978800 ,3813 ,203497 ,46 ,213 ,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"코미디,드라마",알레한드로 곤잘레스 이냐리투,"마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠"
19,런 올 나이트,2015-03-19,25610900 ,0.0010 ,2293581495 ,3322 ,289524 ,61 ,530 ,미국,미국,,워너브러더스 코리아(주),청소년관람불가,"액션,스릴러",자움 콜렛 세라,"리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스"
20,엘리제궁의 요리사,2015-03-19,14709000 ,0.0010 ,165161000 ,2059 ,21729 ,13 ,88 ,프랑스,프랑스,,판씨네마(주),12세이상관람가,코미디,크리스티앙 뱅상,"캐서린 프로트,아르띄르 뒤퐁,이폴리트 지라르도"
21,일요일은 참으세요,,3961000 ,0.0000 ,4745000 ,1928 ,2320 ,1 ,16 ,그리스,그리스,,,,"코미디,드라마",줄스 다신,"멜리나 메코우리,줄스 다신"
22,투캅스 인 파리,2015-03-26,8740000 ,0.0000 ,34266000 ,1769 ,6786 ,5 ,35 ,프랑스,프랑스,,노바엔터테인먼트,청소년관람불가,"액션,코미디,범죄",다비드 샤혼,"오마 사이,로랑 라피트"
23,화이트 갓,2015-04-02,13441700 ,0.0010 ,16643700 ,1765 ,2141 ,23 ,270 ,헝가리,"헝가리,독일,스웨덴",,(주)나이너스엔터테인먼트,15세이상관람가,"드라마,스릴러",코르넬 문드럭초,"조피아 프소타,산도르 즈소테르"
24,헬머니,2015-03-05,12433800 ,0.0010 ,4118873972 ,1740 ,522727 ,16 ,167 ,한국,한국,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,신한솔,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선"
